Questions,Answers,Labels
What do you mean by Clustering?,Clustering is an unsupervised machine learning technique that groups similar observations in a cluster such that the observations in the same group are more similar to each other than the observations in the other groups i.e observations in different clusters are dissimilar to each other.,Hierarchial
What is a Hierarchical Clustering Algorithm?,"Hierarchical Clustering i.e, an unsupervised machine learning algorithm is used to group the unlabeled datasets into a single group, named, a cluster. Sometimes, it is also known as  Hierarchical cluster analysis (HCA).
In this algorithm, we try to create the hierarchy of clusters in the form of a tree, and this tree-shaped structure is known as the Dendrogram.",Hierarchial
What are the various types of Hierarchical Clustering?,"The two different types of Hierarchical Clustering technique are as follows:
Agglomerative: It is a bottom-up approach, in which the algorithm starts with taking all data points as single clusters and merging them until one cluster is left.
Divisive: It is just the opposite of the agglomerative algorithm as it is a top-down approach.",Hierarchial
Explain the Agglomerative Hierarchical Clustering algorithm with the help of an example.,"Initially, each data point is considered as an individual cluster in this technique. After each iteration, the similar clusters merge with other clusters and the merging will stop until one cluster or K clusters are formed. The steps of the agglomerative algorithm are as follows:
1. Compute the proximity matrix.
2. Let each data point be a cluster.
3. Repeat this step: Combine the two closest clusters and accordingly update the proximity matrix.
4. Until only a single cluster remains.",Hierarchial
Describe the Divisive Hierarchical Clustering Algorithm in detail.,"In simple words, Divisive Hierarchical Clustering is working in exactly the opposite way as Agglomerative Hierarchical Clustering. In Divisive Hierarchical Clustering, we consider all the data points as a single cluster, and after each iteration, we separate the data points from the cluster which are not similar. Each data point that is separated is considered as an individual cluster. Finally, we’ll be remaining with n number of clusters. Since we aredividing the single clusters into n clusters, it is named Divisive Hierarchical Clustering. This technique is not much used in real-world applications.",Hierarchial
Explain the different linkage methods used in the Hierarchical Clustering Algorithm.,"The popular linkage methods used in Hierarchical Clustering are as follows:
Complete-linkage: In this method, the distance between two clusters is defined as the maximum distance between two data points from each cluster.
Single-linkage: In this method, the distance between two clusters is defined as the minimum distance between two data points in each cluster.
Average-linkage: In this method, the distance between two clusters is defined as the average distance between each data point in one cluster to every data point in the other cluster.
Centroid-linkage: In this method, we find the centroid of cluster 1 and the centroid of cluster 2 and then calculate the distance between the two before merging.",Hierarchial
List down the pros and cons of complete and single linkages methods in the Hierarchical Clustering Algorithm.,"Pros of Single-linkage: This approach can differentiate between non-elliptical shapes as long as the gap between the two clusters is not small.
Cons of Single-linkage: This approach cannot separate clusters properly if there is noise between clusters.
Pros of Complete-linkage: This approach gives well-separating clusters if there is some kind of noise present between clusters.
Cons of Complete-Linkage: This approach is biased towards globular clusters. It tends to break large clusters.",Hierarchial
What is the group average method for calculating the similarity between two clusters for the Hierarchical Clustering Algorithm?,"In the group average method, we take all the pairs of data points and calculate their similarities and find the average of all the similarities. Mathematically this can be written as,
sim(C1, C2) = ? sim(Pi, Pj)/|C1|*|C2|
where Pi ? C1 & Pj ? C2",Hierarchial
Explain Ward's method for calculating the similarity between two clusters in the Hierarchical Clustering Algorithm.,"In this method, we find the similarity between clusters by calculating the sum of the square of the distances Pi and Pj. Mathematically this can be written as,
sim(C1, C2) = ? (dist(Pi, Pj))²/|C1|*|C2|
Pros of Ward’s method: This approach also does well in separating clusters if there are some of the noisy points or outliers present between the clusters.
Cons of Ward’s method: This approach is biased towards globular clusters.",Hierarchial
What is a dendrogram in Hierarchical Clustering Algorithm?,"A dendrogram is defined as a tree-like structure that is mainly used to store each step as a memory that the Hierarchical clustering algorithm performs. In the dendrogram plot, the Y-axis represents the Euclidean distances between the observations, and the X-axis represents all the observations present in the given dataset.",Hierarchial
